Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
2356.159029,1714.926219,470727.9453,7989.607533,2570.40872,89.642611,6541.291031,5345.36812,18151.06183,2468.474043,2525.628735,5218.95082,013
953348.6581,278590.6014,180584.6603,166018.2434,5281.66636,740.860156,273887.1595,9050.094953,166274.668,18421.0507,11136.02661,1407912.715,013
8728.289227,2421.908402,993840.1468,27154.10718,26.996279,161.960346,24419.25246,118.169242,56723.69394,5033.982768,4459.824048,20224.58519,013
2275.472822,1847.657291,472024.6179,7941.417367,2577.523062,321.745258,6678.370358,5391.451663,18191.89361,2554.76155,2585.703757,5158.245174,013
950198.2868,277795.0512,181378.1149,165828.4893,4903.974707,710.338228,274257.6037,9011.794541,165294.1708,18131.45554,11360.43368,1406579.297,013
9068.564659,2513.660555,992802.0054,26981.81322,61.127609,59.659959,24514.56698,178.281889,56285.66048,5415.336572,4426.357633,20266.81218,013
2328.350874,1654.297203,471702.8667,7856.588552,2610.761306,212.267139,6566.14278,5212.888258,18148.51436,2539.460119,2628.693072,5354.515532,013
50767.96559,9117.219769,14112.56889,62671.46348,407.165415,4900.052843,25649.04983,32.497631,13065.13618,1212.229369,1519.438508,31325.1698,014
569.200378,152.58501,85016.89407,10566.04966,42.122897,53.859801,1560.836106,12.990919,4223.920622,396.3469,1022.351173,555.510829,014
380.686949,1145.716499,60182.55526,3350.474669,2066.30806,287.589129,642.828859,3900.603403,1473.260216,392.923975,1745.688176,493.43615,014
443170.0104,74041.63802,134457.2258,897630.8656,11227.43749,13519.27225,221158.6732,259.086101,122274.2155,12340.18903,16364.70349,599702.9502,014
5022.227999,1054.940068,833637.7895,174177.6502,57.582628,261.797165,14487.74077,84.446589,42056.08285,3366.282643,10373.08237,8898.676939,014
1131.169721,1326.227363,435595.3753,53360.23957,2543.467261,81.087187,3794.054356,4863.626928,13096.36293,1905.911169,5437.060639,2300.575254,014
1191878.519,298842.9647,161240.0977,1059779.023,7310.233555,1602.618831,240798.6269,326.136722,143044.3217,13073.56818,14384.34348,1042143.266,014
11024.90143,2611.556978,906693.5291,194787.35,36.063794,29.65159,17378.83109,48.555222,48276.32545,3974.846505,10965.38631,12685.07245,014
2587.382473,1717.730854,463322.6615,59715.17644,2437.581245,84.180283,4851.686367,4736.560318,15443.76037,1754.588674,5673.871736,3571.16654,014
1185675.548,296590.8842,158335.0345,1052588.866,6988.237975,1431.630856,241553.7344,233.60916,142770.7611,12468.50139,14680.44681,1036127.601,014
10926.50244,2666.498024,901238.34,193898.4678,39.630868,69.123948,17490.91314,86.814937,47477.47647,3706.248524,10998.58271,13010.11511,014
2600.882584,1603.9132,460593.8587,59491.37391,2470.31095,106.922633,4717.736932,4848.269405,15162.91877,1991.779206,5587.439229,3385.754854,014
444465.3438,74966.37448,135370.029,901479.5949,11127.46953,13514.78505,220435.7642,325.334904,122214.9415,11734.85551,16292.37929,599902.8455,014
5053.69048,1011.885544,835161.135,174798.6162,54.325368,178.290219,14646.72827,80.455545,42362.61079,3577.701596,10149.70453,8794.420447,014
1294.218189,1508.155806,437030.2051,53956.1105,2647.110445,224.114862,3778.141647,4760.363661,12977.6106,1987.401975,5398.320044,2376.192743,014
662508.2757,188593.2108,144730.3178,911979.9597,5869.322268,1151.213713,224744.0965,51.246236,150847.4543,13645.8572,14888.7434,684650.4462,1121
5592.424682,1685.909254,852329.8717,163933.259,55.926851,1.620664,13737.66752,90.428208,47362.75191,4489.814483,11415.67278,8018.605554,1121
1491.927059,1528.199133,442925.885,51923.0017,2402.473094,159.880676,3987.068363,4521.365415,14854.8957,1993.320824,5644.971193,2157.191429,1121
122948.0497,29691.64242,465470.1202,955069.661,8575.662145,1534.110409,111863.2336,103.511942,38795.75591,11174.91647,26692.82101,433067.4604,941
830.624359,522.903665,2177254.199,124449.2686,44.526768,116.048216,2059.17041,74.711718,7528.037021,357.292595,18273.83036,3595.73927,941
466.665112,1488.062166,1526465.497,48294.58122,2599.367595,218.427458,748.120692,4887.928478,3102.280662,627.840176,11747.97042,1296.648752,941
124054.8237,29822.79255,468411.5911,958108.7932,8713.36554,1690.350183,109295.7919,171.754266,38883.83971,10818.83836,27542.22079,435687.3212,941
812.342249,501.628718,2186099.871,124224.3717,62.333301,0.422466,2031.499813,82.623328,7460.684144,305.39357,18296.22755,3539.832444,941
556.513175,1454.726549,1530511.896,47797.47597,2637.208017,305.90416,773.06308,4961.815935,3093.095097,516.537943,11777.99249,1340.959042,941
260887.2248,102380.4203,107450.7249,644385.1934,4881.015582,6432.368585,106345.1163,307.623907,121449.807,10685.2596,12712.21056,445824.0485,961
1837.715966,918.211368,467247.7057,98481.58115,74.034414,64.50009,2450.760994,86.092026,33759.93869,2067.834334,1778.101769,4262.482914,961
640.958383,1675.295771,219280.7033,28299.43398,3051.492324,332.492497,744.270799,5686.273955,9792.824572,1270.281919,1388.969131,1448.209811,961
431342.5052,172073.9968,145373.3419,899043.9364,4069.998519,6486.520982,78608.5754,276.757372,172405.5524,12526.54329,12081.38417,709132.9896,961
3301.895548,1389.799569,635263.8795,140688.9125,46.616678,132.804154,1753.503915,100.68431,47945.18289,2843.922403,1718.752647,6812.027512,961
791.391058,1690.05901,293963.7202,39238.47302,2970.622284,277.203568,464.29363,5759.63719,13964.41957,1560.886522,1515.143224,1768.005489,961
432782.1756,173718.9458,144162.4481,895007.8243,4570.537388,6527.800195,77741.8543,204.83801,171040.103,11297.14388,12328.47178,703940.6833,961
3276.249835,1396.520311,633464.3156,139706.492,84.480773,157.917587,1724.517181,85.005762,47868.78539,3000.699369,1926.243186,6611.720284,961
847.577802,1810.183803,291319.7549,39600.41694,2873.482429,389.325395,536.477474,5757.173037,13846.68268,1544.243927,1499.627929,1894.320005,961
429771.2678,171468.6124,144129.5204,895665.419,4368.648513,6394.388402,80605.87384,307.226779,169617.7728,11778.17932,11671.86729,706035.0368,961
3190.377908,1406.632829,635086.7067,139872.2783,87.035147,93.499572,1647.756959,108.828376,47608.23534,2750.988246,1864.955549,6783.226845,961
865.691086,1722.818645,293110.2831,39539.86799,3062.088385,176.928196,556.369799,5758.929358,13551.00685,1647.688177,1900.405758,1600.062915,961
