Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
860.651129,1793.830627,166053.336461,11330.283527,3130.581171,166.116873,1845.326758,6395.555949,10843.989361,1860.757216,1324.522727,1697.187904,1081
2255287.136356,633505.430891,191918.944772,145384.410351,10918.14121,1756.989371,538523.808595,146.620396,189717.367197,20830.592431,16292.501669,383441.486512,1101
21512.489004,5643.399966,1273193.542014,23505.9472,51.58165,97.511446,46429.614536,38.964394,66487.666176,5521.803356,11918.859696,5597.862425,1101
5614.26868,2358.970521,690174.366212,7623.047418,1811.317948,152.119661,13731.407022,3496.55836,22773.88743,2467.264213,5951.745197,1752.945315,1101
662508.275721,188593.210754,144730.317818,911979.959701,5869.322268,1151.213713,224744.096517,51.246236,150847.454318,13645.857198,14888.743395,684650.446219,1121
5592.424682,1685.909254,852329.87167,163933.259033,55.926851,1.620664,13737.667518,90.428208,47362.751911,4489.814483,11415.672778,8018.605554,1121
1491.927059,1528.199133,442925.885006,51923.001697,2402.473094,159.880676,3987.068363,4521.365415,14854.895697,1993.320824,5644.971193,2157.191429,1121
299378.707067,87754.479628,211613.855134,212284.298707,5113.609364,797.390631,125451.761776,194.087002,88921.821106,11121.240288,13592.433802,1985009.190866,1131
2120.248287,832.715382,1129735.843324,28229.026228,64.645535,77.468384,3914.276869,69.136379,22370.923641,2393.999449,3264.17309,20340.684241,1131
778.295859,1691.501248,580858.632262,8374.157336,2940.788723,260.808942,1376.217908,6028.153328,7140.827709,1371.19057,2207.385309,5427.10252,1131
392190.758954,131039.795822,168983.409204,595873.288738,5342.447482,3041.02552,145733.147448,181.509149,168060.555392,13910.607434,23050.781483,568344.124503,1191
3119.900119,1085.236879,859967.496844,83457.694359,30.665409,122.344461,6645.238482,127.042811,46919.923671,4073.607779,20563.134583,5765.335038,1191
839.292482,1669.366003,432765.834311,23825.07479,3045.100218,211.451108,1770.223073,5815.988159,14310.217854,2156.408233,10021.520403,1575.575515,1191
167728.522533,53833.347775,110969.048211,636218.307173,5540.665703,4187.186384,118710.34835,171.710388,79358.97291,8045.833711,17843.053085,574290.211528,1211
1326.943599,622.328113,492430.33621,94835.542815,43.392213,67.18332,2215.209247,111.736837,20922.872518,1523.054167,9260.291739,5503.106452,1211
404.942965,1619.948833,247859.733785,26821.927658,3337.372273,259.207079,649.903504,5980.022769,6182.012269,910.041148,4897.886369,1548.348535,1211
329846.728423,109441.895755,161996.016164,532467.394525,6012.50595,3214.116361,120652.341807,161.096616,146575.083167,11964.100894,20402.965993,824371.152016,1251
2485.095478,986.158247,820679.571843,73845.459055,49.258716,69.084591,4817.871871,104.407235,41050.494415,3709.541975,15669.210646,8325.101152,1251
780.592697,1537.208841,416903.987032,20958.712147,2786.548203,292.339469,1467.753392,5447.364998,12714.357054,1767.093179,7377.999569,2323.316473,1251
479312.532277,162088.737798,133444.258945,329490.408184,4326.033953,1611.497531,135470.047898,85.206456,162905.318122,13069.888138,16111.871709,832391.617039,1261
3753.915844,1359.510576,648473.902446,44713.919689,24.908461,94.817373,6382.072422,103.119309,45556.806457,3439.759382,10512.749424,8264.731235,1261
1246.077566,1743.98302,317467.509689,12384.293445,2954.236743,263.851929,1932.255828,6280.770013,13878.11023,1854.128777,4984.691688,2137.002573,1261
122948.049687,29691.642422,465470.120233,955069.661047,8575.662145,1534.110409,111863.233646,103.511942,38795.755908,11174.916468,26692.821007,433067.460365,941
830.624359,522.903665,2177254.199422,124449.268633,44.526768,116.048216,2059.17041,74.711718,7528.037021,357.292595,18273.83036,3595.73927,941
